Japanese	English
アベック	couple
アフレコ	postrecording
アフターサービス	customer service
アイドル	idol
アイス	ice cream
アイスキャンディー	popsicle
アイゼン	crampons
アメフト	American football
アメリカンドッグ	corn dog
アニメ	anime
アニソン	anime song
アンケート	survey
アンニュイ	ennui
アンサー	answer
アンチ	anti-fan
アパート	apartment
アポ	appointment
アップ	upgrade
アロエ	aloe
アルバイト	part-time job
アールブイ	RV
アルコール	alcohol
アウトコース	outside
バーゲン	bargain
バイキング	buffet
バイク	motorcycle
バカンス	vacation
ブックカバー	book cover
バックミラー	back mirror
バックナンバー	back issue
バックネット	backstop
バンパー	bumper
バリアフリー	barrier-free
バスジャック	busjack
バター	butter
バッティング	batting
ベビーカー	baby pram
ビジネスホテル	budget hotel
ビロード	velvet
ビル	building
ビール	beer
ボールペン	ballpoint pen
ボタン	button
ブレザー	blazer
ブルマ	bloomers
キャビンアテンダント	flight attendant
チャージ	charge
チェンジレバー	gear lever
チアリーダー	cheerleader
チアリーディング	cheerleading
チケット	ticket
チンキ	tincture
コラボ	collaboration
コンピュータ	computer
ダブル	double
ダストボックス	rubbish bin
ダストシュート	garbage chute
デコレーションケーキ	fancy cake
デパート	department store
ドイツ	Germany
ドクターストップ	doctor stop
ドンマイ	don't worry about it
ドライバー	driver
ドライブイン	drive-in
ドラマ	TV drama
ドリフト	drifting (car skid)
エアコン	aircon
エキス	extract
エネルギッシュ	energetic
エンスト	engine stop
エレベーター	elevator
エスカレーター	escalator
エスパニャ	Spain
エステ	beauty salon
ファイナル	final
ファイト	fight on!
ファミコン	NES console
ファンファーレ	fanfare
ファンタジック	fantastic
フライ	deep fry
フライングゲット	prepurchase
フライドポテト	fries/chips
フリーダイアル	toll-free call
フリーサイズ	one-size-fits-all
フリーター	underemployed young adult
フロントガラス	windshield
ガードマン	security guard
ガラス	glass
ガソリンスタンド	gas station
ガッツポーズ	victory pose
ガーゼ	gauze
ゲームセンター	game arcade
ゲレンデ	ski slope
ギブアップ	give up
ギプス	cast
ゴム	eraser
ゴールデンアワー	TV golden hour
ゴールデンウィーク	golden week (holidays)
ググる	to google
グラビア	glamour photography
グラス	drinking glass
ギャラリー	gallery
ギャル	gal (subculture)
ハイネック	turtleneck
ハイオク	high-octane gasoline
ハイタッチ	high five
ハッカー	blackhat hacker
ハモる	harmonize (singing)
ハンドル	steering wheel
ハンドルキーパー	designated driver
ハンドルネーム	screen name
ハンカチ	handkerchief
ハンスト	hunger strike
ハッピーエンド	happy ending
ハザードランプ	hazard lights
ヘアピンカーブ	hairpin turn
ヘルスメーター	bathroom scale
ヒップ	butt
ホルモン	hormone
ホース	hose
ホッチキス	stapler
ホットケーキ	hotcake
ホーム	railway platform
ホワイトデー	White Day
イクラ	caviar (икра)
イメージ	image
インスタ	Instagram
インフレ	inflation
イラスト	illustration
ジャンパー	jumper
ジャンプ	jump
ジェンダーフリー	gender equality
ジェットコースター	roller coaster
ジンギスカン	jingisukan (Mongolian dish)
ジーパン	jeans
ジープ	jeep
ジュース	soda
カメラマン	cameraman
カン	can
カンニング	cheating
カラン	faucet
カラオケ	karaoke
カリウム	potassium
カルキ	lime (mineral)
カルタ	karuta (Japanese playing cards)
カルテ	medical record
カシューナッツ	cashew
カステラ	castella
カタルシス	catharsis
キーホルダー	key ring
キーボード	keyboard
キスマーク	hickey
キッチンペーパー	paper towel
コーヒー	coffee
コインランドリー	laundromat
コインロッカー	coin-operated locker
コック	cook
コマーシャルメッセージ	television ad
コンビニ	convenience store
コンクール	contest
コンセント	power outlet
コント	a short comedy
コラーゲン	collagen
コロッケー	croquette
コスプレ	cosplay
クラブ	club
クラクション	horn (on a car)
クランケ	patient
クレーム	a complaint
クレーンゲーム	crane game
クリスタル	shiny/clear
キャベツ	cabbage
キャンペーン	sales campaign
キャッチボール	game of catch
キャッチホン	call waiting
キャッチコピー	tagline
キャップ	cap
マグカップ	mug
マイナスドライバー	(flathead) screwdriver
マジックインキ	permanent marker
マジックテープ	velcro
ママ	mom
マンダラ	mandala
マニア	enthusiasm
マンション	apartment
マスコミ	mass media
メーカー	manufacturer
メール	email
メールマガジン	email newsletter
メルヘン	fairy tale
メタボ	big-bellied
ミイラ	a mummy
ミルク	milk, non-dairy creamer
ミシン	sewing machine
モバイル	mobile communications/devices
モーニングコール	wake-up call
モーニングコート	morning coat
モーニングサービス	cafe breakfast special
ナイター	a night game
ナンバーディスプレイ	caller ID
ネーム	name
ナンバープレート	number plate
ナトリウム	sodium (Na)
ニート	NEET
ノー	no
ノークレームノーリターン	sold "as is"
ノルマ	quota
ノート	notebook
ノートパソコン	laptop
オーバー	overreaction
オブ	of
オーダーメード	made-to-order
オーディエンス	audience
オードブル	hors-d'œuvre
オーエル	office lady
オイルショック	oil crisis
オンリーワン	one-of-a-kind
オペ	operation (surgical)
オープンカー	convertible (automobile)
オーライ	all right
オートバイ	motorbike
パイン	pineapple
パーマ	perm
パン	bread
パネリスト	panelist
パンク	flat tire
パーソナルコンピューター	personal computer
パパ	dad
ペチカ	Russian stove
ペーパーカンパニー	dummy company
ペパロニ	Pepperoni
ペーパーテスト	written examination/test
ピエロ	a clown
ピーマン	sweet bell pepper
ピッケル	ice axe
ピザ	Pizza
ピンチ	scary situation
ピンセット	tweezers
ポエマー	a poet
ポケベル	pager
ポケモン	Pokémon
ポンプ	pump
ポシェット	a small bag
ポスト	postbox
ポテチ	potato chips
プラスアルファ	in addition
プラスドライバー	Phillips screwdriver
プレー	play
プレイ	pray
プレイガイド	(theater) ticket agency
プリクラ	purikura
プロ	professional
プロフィール	a profile
プロレス	professional wrestling
プッシュホン	push-button telephone
ライバル	rival
ライブアクション	live-action
ライブハウス	live music bar
ライフライン	infrastructure
ラッコ	a sea otter
ラムネ	Ramune
ランニングシャツ	sleeveless T-shirt
レジュメ	resume
レントゲン	X-ray
レースクイーン	umbrella girls
レストラン	restaurant
リベンジ	rematch
リードオンリーメンバー	lurker
リフォーム	renovation
リモコン	remote control
リンクフリー	free to link
リニューアル	remodeling
リサイクルショップ	secondhand shop
リセマラ	game rerolling exploit
リストラ	restructuring/downsizing
ロードショー	premiere , especially of a film
ロケーションハンティング	location hunting
ロマン	novel
ロマンスグレー	silver-gray hair
ロマンスカー	deluxe train
ロープウェー	ropeway
ロスタイム	added time
ルー	roux
ルポ	reportage
リュックサック	backpack
サービス	service
サボる	slacking off
サイドブレーキ	hand brake
サイダー	a kind of soda (not cider)
サイン	signature
サインペン	marker
サンドイッチ	sandwich
サンドバッグ	punching bag
サラダ	salad
サラリーマン	salaryman
セメダイン	glue
センス	understanding of nuance
セレブ	rich person
セツナ	moment
シャープペンシル	mechanical pencil
シャッターチャンス	great photo opportunity
シーエム	television commercial
シール	sticker
シルバーシート	priority seating
シュークリーム	cream puff
ソフトクリーム	soft serve ice cream
ソーラーシステム	solar battery
スイートルーム	hotel suite
スケボー	skateboard
スケルトン	translucent
スキー	skiing
スコップ	spade
スマート	stylish
スマホ	smartphone
スムーズ	smooth (e.g. transaction)
スーパー	supermarket
スペル	(noun) spelling
スポイト	syringe
スター	star
ステップ	step
ストライキ	labor strike
ストレートティー	black tea no milk
ストーブ	space heater
スーツアクター	cartoon-costumed actor
タイムオーバー	time limit reached
タオルケット	towel-like blanket
タレント	TV personality
テーマ	theme
テンキー	numeric keypad
てんぷら	tempura
テンション	excitement
テレビ	television
テレビゲーム	video game
テレフォン	telephone
テレカ	prepaid phone card
ティーンエージャー	teenager
トーチカ	bunker
トイレ	toilet
トンカツ	pork cutlet
トップページ	homepage
トラックメーカー	music producer
トランプ	playing cards
トレーナー	sweatshirt
ツイッター	twitter
ウィンカー	turn signal
ウーパールーパー	an axolotl
ワイドショー	talk show
ワイシャツ	dress shirt (of any color)
ワンパターン	boring uniformity
ワンピース	one-piece dress
ワープロ	word processor
ヨット	yacht
ヤンエグ	young executive
ヨード	iodine
ヨードチンキ	tincture of iodine
ユニットバス	modular bath
ゼミナール	seminar
ゼン	a meditation
ゼロ	zero
トマト	tomato
ズボン	pants